Nom_Commercial,DCI,Dosage,Prix_DZD
GEMAL,PARACETAMOL,500MG,0.0
DIALAMOL,PARACETAMOL,500MG,0.0
SUPPFADOL 150,PARACETAMOL,150MG,0.0
PAROL,PARACETAMOL,150MG,0.0
DOLPRIV,PARACETAMOL,150MG,0.0
CETALGINE,PARACETAMOL,150MG,0.0
DOLIPRANE,PARACETAMOL,150MG,0.0
SUPPFADOL 200,PARACETAMOL,200MG,0.0
GEMAL,PARACETAMOL,200MG,0.0
PAROL,PARACETAMOL,200MG,0.0
DOLYMEX,PARACETAMOL,200MG,0.0
ALGIMOL ENFANT,PARACETAMOL,200MG,0.0
DOLPRIV,PARACETAMOL,200MG,0.0
CETALGINE,PARACETAMOL,200MG,0.0
DOLIPRANE,PARACETAMOL,200MG,0.0
SUPPFADOL 300,PARACETAMOL,300MG,0.0
GEMAL,PARACETAMOL,300MG,0.0
PAROL,PARACETAMOL,300MG,0.0
DOLYMEX,PARACETAMOL,300MG,0.0
ALGIMOL ENFANT,PARACETAMOL,300MG,0.0
DOLPRIV,PARACETAMOL,300MG,0.0
CETALGINE,PARACETAMOL,300MG,0.0
DOLIPRANE,PARACETAMOL,300MG,0.0
"PARACETAMOL
BIOCARE",PARACETAMOL,150MG,0.0
EXPANDOL,PARACETAMOL,150MG,0.0
SAPRAMOL,PARACETAMOL,150MG,0.0
DOLIPRANE,PARACETAMOL,150MG,0.0
PARACETAMOL PHYSIOPHARM,PARACETAMOL,150MG,0.0
PARACETAMOL BIOCARE,PARACETAMOL,200MG,0.0
EXPANDOL,PARACETAMOL,200MG,0.0
SAPRAMOL,PARACETAMOL,200MG,0.0
"PARACETAMOL
PHYSIOPHARM",PARACETAMOL,200MG,0.0
DOLIPRANE,PARACETAMOL,200MG,0.0
EXPANDOL,PARACETAMOL,300MG,0.0
SAPRAMOL,PARACETAMOL,300MG,0.0
DOLIPRANE,PARACETAMOL,300MG,0.0
PARACETAMOL BIOCARE,PARACETAMOL,300MG,0.0
PARAMOL RHUME,"PARACETAMOL / PSEUDOEPHEDRINE
CHLORHYDRATE",500MG/30MG,0.0
RHUMEDRINE,"PARACETAMOL /
PSEUDOEPHEDRINE CHLORHYDRATE",500MG/30MG,0.0
DOLI RHUME,"PARACETAMOL /
PSEUDOEPHEDRINE CHLORHYDRATE",500MG/30MG,0.0
PLANADIX RHUME,"PARACETAMOL/PSEUD
OEPHEDRINE (SOUS FORME DE",500MG/30MG,0.0
ACETADOL,PARACETAMOL,3%,0.0
TYLENOL,PARACETAMOL,3% (150MG/5ML),0.0
PEDIAMOL,PARACETAMOL,3%,0.0
ALGIMOL-PEDIATRIQUE,PARACETAMOL,3%,0.0
DOLPRIV,PARACETAMOL,3%,0.0
EFFERALGAN PEDIATRIQUE,PARACETAMOL,3%,0.0
PARACETAMOL BIOCARE,PARACETAMOL,500MG,0.0
EXPANDOL,PARACETAMOL,500MG,0.0
SAPRAMOL,PARACETAMOL,500MG,0.0
"PARACETAMOL
PHYSIOPHARM",PARACETAMOL,500MG,0.0
PERMIDOL,PARACETAMOL,10MG/ML,0.0
PARACETAMOL RAZES,PARACETAMOL,"10MG/ML (500MG/50ML)
(1000MG/100ML)",0.0
PARACETAMOL PHARMAGHREB,PARACETAMOL,10MG/ML (500MG/50ML) (1000MG/100ML),0.0
PARACETAL,PARACETAMOL,10MG/ML (1000MG/100ML),0.0
DOLOMOL,PARACETAMOL,250MG/5ML,0.0
DOLOMOL,PARACETAMOL,250MG,0.0
DOFEBRIL,PARACETAMOL,1G,0.0
GEMAL,PARACETAMOL,1G,0.0
DOLICRANE,PARACETAMOL,1G,0.0
MIGRAMOL,PARACETAMOL,1G,0.0
PANADOL 1G,PARACETAMOL,1G,0.0
DOLYC,PARACETAMOL,1G,0.0
PARACETAMOL PHYSIOPHARM,PARACETAMOL,1G,0.0
PARALGAN,PARACETAMOL,1G,0.0
PARAMOL,PARACETAMOL,1G,0.0
DOLIPRANE,PARACETAMOL,1G,0.0
DOLI-BIEN,PARACETAMOL,1G,0.0
EXPANDOL,PARACETAMOL,1G,0.0
PARALGAN,PARACETAMOL,1000MG,0.0
PARALGAN,PARACETAMOL,80MG,0.0
EXTRADOL,"PARACETAMOL /
CAFEINE",500MG/65MG,0.0
EXPANDOL PLUS,"PARACETAMOL /
CAFEINE",500MG/65MG,0.0
PANADOL EXTRA,PARACETAMOL / CAFEINE,500MG/65MG,0.0
